API ID,1 DEPTH,2 DEPTH,3 DEPTH,API 명칭,설명,Method,URL,Actor,요청 필드,응답 필드,구현 상태,담당자
HR-014,HR,Notice,Notice,공지 즉시 게시,공지를 즉시 POSTING 상태로 등록,POST,/api/v1/hr/notices,HRM,"noticeTitle, noticeContent, isImportant, importantEndAt(중요 공지 시 선택)",처리 결과 (success),완료,D
HR-015,HR,Notice,Notice,공지 수정,공지 수정 (상태·제목·내용·중요여부·게시 기간 변경 가능),PUT,/api/v1/hr/notices/{noticeId},HRM,"noticeId(Path), noticeStatus, noticeTitle, noticeContent, isImportant, publishStartAt, importantEndAt",처리 결과 (success),완료,D
HR-016,HR,Notice,Notice,공지 삭제,공지 삭제,DELETE,/api/v1/hr/notices/{noticeId},HRM,noticeId(Path),처리 결과 (success),완료,D
HR-017,HR,Notice,Pinned Notice,상단 고정 공지 단건 조회,"대시보드 상단 고정 공지 단건 조회. is_important=1이고 POSTING 상태이며 importantEndAt이 만료되지 않은 공지 중 최신 1건 반환",GET,/api/v1/hr/notices/pinned,"HRM, TL, DL, Worker",,"고정 공지 정보 (noticeId, noticeTitle, noticeContent, createdAt 등)",완료,D
HR-018,HR,Notice,Attachment,공지 첨부파일 업로드,공지 첨부파일 업로드,POST,/api/v1/hr/notices/{noticeId}/attachments,HRM,"noticeId(Path), files(Multipart)","업로드 결과 (success)",완료,D
HR-019,HR,Attachment,Attachment,첨부파일 다운로드,첨부파일 다운로드 (공지·이의신청 등 도메인 공통),GET,/api/v1/hr/attachments/{attachmentId},"HRM, TL, DL, Worker",attachmentId(Path),파일 바이너리 데이터 (File),완료,D
HR-020,HR,Notice,Notice,공지 예약 게시,"공지를 RESERVATION 상태로 등록. publishStartAt 도달 시 스케줄러가 자동으로 POSTING 전환. 중요 공지인 경우 publishStartAt이 importantEndAt보다 이전이어야 함",POST,/api/v1/hr/notices/schedule,HRM,"noticeTitle, noticeContent, isImportant, importantEndAt(중요 공지 시 선택), publishStartAt(필수)",처리 결과 (success),완료,D
HR-021,HR,Notice,Notice,공지 임시 저장,공지를 TEMPORARY 상태로 저장. 제목·내용 모두 선택 사항,POST,/api/v1/hr/notices/draft,HRM,"noticeTitle(선택), noticeContent(선택), isImportant, importantEndAt(선택)",처리 결과 (success),완료,D
HR-059,HR,Promotion,Promotion,승급 심사 요약 조회,승급 심사 요약 조회,GET,/api/v1/hr/promotions/summary,HRM,,"승급 심사 요약 (totalCandidates, confirmed, suspended 등)",미구현,C
HR-060,HR,Promotion,Promotion,승급 후보 목록 조회,승급 후보 목록 조회,GET,/api/v1/hr/promotions/candidates,HRM,"page, size","승급 후보 목록 (employeeId, name, currentTier, targetTier, totalScore 등)",미구현,C
HR-061,HR,Promotion,Promotion,승급 후보 상세 조회,승급 후보 상세 조회,GET,/api/v1/hr/promotions/{candidateId},HRM,candidateId(Path),"승급 후보 상세 (employeeId, currentTier, targetTier, scores 등)",미구현,C
